Area_Name,Population
UNITED KINGDOM,65648054
GREAT BRITAIN,63785917
ENGLAND AND WALES,58381217
ENGLAND,55268067
NORTH EAST,2636848
County Durham,522143
Darlington,105646
Hartlepool,92817
Middlesbrough,140398
Northumberland,316002
Redcar and Cleveland,135404
Stockton-on-Tees,195681
Tyne and Wear (Met County),1128757
Gateshead,201592
Newcastle upon Tyne,296478
North Tyneside,203307
South Tyneside,149418
Sunderland,277962
NORTH WEST,7219623
Blackburn with Darwen,147049
Blackpool,139195
Cheshire East,376695
Cheshire West and Chester,335680
Halton,126903
Warrington,208809
Cumbria,497906
Allerdale,96956
Barrow-in-Furness,67321
Carlisle,108409
Copeland,69307
Eden,52639
South Lakeland,103274
Greater Manchester (Met County),2782141
Bolton,283115
Bury,188669
Manchester,541263
Oldham,232724
Rochdale,216165
Salford,248726
Stockport,290557
Tameside,223189
Trafford,234673
Wigan,323060
Lancashire,1198798
Burnley,87522
Chorley,114351
Fylde,77990
Hyndburn,80537
Lancaster,143517
Pendle,90588
Preston,141801
Ribble Valley,58826
Rossendale,69886
South Ribble,110118
West Lancashire,113401
Wyre,110261
Merseyside (Met County),1406447
Knowsley,147915
Liverpool,484578
Sefton,274261
St. Helens,178455
Wirral,321238
YORKSHIRE AND THE HUMBER,5425741
East Riding of Yorkshire,337696
"Kingston upon Hull, City of",260240
North East Lincolnshire,159144
North Lincolnshire,170786
York,208367
North Yorkshire,604866
Craven,56308
Hambleton,90537
Harrogate,156312
Richmondshire,53732
Ryedale,53486
Scarborough,107824
Selby,86667
South Yorkshire (Met County),1384969
Barnsley,241218
Doncaster,306397
Rotherham,261930
Sheffield,575424
West Yorkshire (Met County),2299673
Bradford,534279
Calderdale,209770
Kirklees,437047
Leeds,781743
Wakefield,336834
EAST MIDLANDS,4724437
Derby,256233
Leicester,348343
Nottingham,325282
Rutland,38606
Derbyshire,785765
Amber Valley,124645
Bolsover,78082
Chesterfield,104440
Derbyshire Dales,71288
Erewash,114891
High Peak,91662
North East Derbyshire,100423
South Derbyshire,100334
Leicestershire,682957
Blaby,97703
Charnwood,179389
Harborough,90416
Hinckley and Bosworth,110102
Melton,50878
North West Leicestershire,98644
Oadby and Wigston,55825
Lincolnshire,743413
Boston,67564
East Lindsey,138443
Lincoln,97795
North Kesteven,113297
South Holland,92387
South Kesteven,140193
West Lindsey,93734
Northamptonshire,733128
Corby,68187
Daventry,81316
East Northamptonshire,90999
Kettering,99002
Northampton,225474
South Northamptonshire,89959
Wellingborough,78191
Nottinghamshire,810710
Ashfield,124482
Bassetlaw,114847
Broxtowe,112671
Gedling,116501
Mansfield,107435
Newark and Sherwood,119570
Rushcliffe,115204
WEST MIDLANDS,5800734
"Herefordshire, County of",189309
Shropshire,313373
Stoke-on-Trent,253226
Telford and Wrekin,172976
Staffordshire,867122
Cannock Chase,98534
East Staffordshire,116701
Lichfield,103061
Newcastle-under-Lyme,128467
South Staffordshire,111180
Stafford,134155
Staffordshire Moorlands,98069
Tamworth,76955
Warwickshire,556750
North Warwickshire,63229
Nuneaton and Bedworth,127019
Rugby,103815
Stratford-on-Avon,122276
Warwick,140411
West Midlands (Met County),2864925
Birmingham,1124569
Coventry,352911
Dudley,317634
Sandwell,322712
Solihull,211763
Walsall,278715
Wolverhampton,256621
Worcestershire,583053
Bromsgrove,96769
Malvern Hills,76130
Redditch,84971
Worcester,102338
Wychavon,122943
Wyre Forest,99902
EAST,6130542
Bedford,168751
Central Bedfordshire,278937
