Table,Column,Number_Missing
Accidents,speed_limit,136621
Vehicles,vehicle_age,68175
Vehicles,propulsion_code,58260
Accidents,junction_control,56623
Vehicles,driver_age,29418
Casualties,casualty_age,2846
Vehicles,impact,1265
Vehicles,hit_object_in_carriageway,1140
Vehicles,left_hand_drive,1074
Vehicles,vehicle_leaving_carriageway,1052
Vehicles,vehicle_manoeuvre,942
Vehicles,towing_and_articulation,886
Vehicles,skidding_and_overturning,831
Accidents,road_conditions,769
Vehicles,junction_location,661
Accidents,pedestrian_crossing_physical,631
Accidents,carriageway_hazards,546
Accidents,site_conditions,505
Vehicles,hit_object_off_carriageway,505
Casualties,car_passenger,475
Vehicles,vehicle_type,336
Accidents,pedestrian_crossing_human,185
Accidents,junction_detail,106
Casualties,casualty_sex,52
Vehicles,driver_sex,42
Casualties,bus_or_coach_passenger,38
Casualties,pedestrian_movement,14
Accidents,weather,13
Accidents,light_conditions,13
Casualties,location,5
Accidents,time,2
Accidents,road_type,1
Casualties,casualty_ref,0
Vehicles,vehicle_ref,0
Accidents,index,0
Accidents,highway_authority,0
Accidents,date,0
Vehicles,index,0
Casualties,casualty_class,0
Casualties,casualty_severity,0
Casualties,casualty_type,0
Casualties,vehicle_ref,0
Casualties,index,0
